title,url,time_published,overall_sentiment_score,overall_sentiment_label,relevance_score,topic_Earnings_relevance,topic_Earnings_sentiment_label,topic_Technology_relevance,topic_Technology_sentiment_label,topic_Manufacturing_relevance,topic_Manufacturing_sentiment_label,ticker,ticker_sentiment_score,ticker_sentiment_label,ticker_relevance_score,topic_Financial Markets_relevance,topic_Financial Markets_sentiment_label,topic_Economy - Monetary_relevance,topic_Economy - Monetary_sentiment_label,topic_Finance_relevance,topic_Finance_sentiment_label,topic_Economy - Fiscal_relevance,topic_Economy - Fiscal_sentiment_label,topic_Economy - Macro_relevance,topic_Economy - Macro_sentiment_label,topic_Energy & Transportation_relevance,topic_Energy & Transportation_sentiment_label,topic_Retail & Wholesale_relevance,topic_Retail & Wholesale_sentiment_label,topic_Life Sciences_relevance,topic_Life Sciences_sentiment_label,topic_Real Estate & Construction_relevance,topic_Real Estate & Construction_sentiment_label
"China's DeepSeek AI Rattles Tech Stocks, Analyst Ives Says Market Plunge 'Golden Buying Opportunity' - Alphabet  ( NASDAQ:GOOG ) , Apple  ( NASDAQ:AAPL ) ",https://www.benzinga.com/analyst-ratings/analyst-color/25/01/43236579/chinas-deepseek-ai-rattles-tech-stocks,20250127T151804,0.142812,Neutral,,0.158519,Somewhat-Bullish,0.5,Bullish,0.5,Bullish,MSFT,0.03706,Neutral,0.179788,,,,,,,,,,,,,,,,,,
"China's DeepSeek AI Rattles Tech Stocks, Analyst Ives Says Market Plunge 'Golden Buying Opportunity' - Alphabet  ( NASDAQ:GOOG ) , Apple  ( NASDAQ:AAPL ) ",https://www.benzinga.com/analyst-ratings/analyst-color/25/01/43236579/chinas-deepseek-ai-rattles-tech-stocks,20250127T151804,0.142812,Neutral,,0.158519,Somewhat-Bullish,0.5,Bullish,0.5,Bullish,GOOG,0.03706,Neutral,0.179788,,,,,,,,,,,,,,,,,,
"China's DeepSeek AI Rattles Tech Stocks, Analyst Ives Says Market Plunge 'Golden Buying Opportunity' - Alphabet  ( NASDAQ:GOOG ) , Apple  ( NASDAQ:AAPL ) ",https://www.benzinga.com/analyst-ratings/analyst-color/25/01/43236579/chinas-deepseek-ai-rattles-tech-stocks,20250127T151804,0.142812,Neutral,,0.158519,Somewhat-Bullish,0.5,Bullish,0.5,Bullish,META,0.178695,Somewhat-Bullish,0.179788,,,,,,,,,,,,,,,,,,
"China's DeepSeek AI Rattles Tech Stocks, Analyst Ives Says Market Plunge 'Golden Buying Opportunity' - Alphabet  ( NASDAQ:GOOG ) , Apple  ( NASDAQ:AAPL ) ",https://www.benzinga.com/analyst-ratings/analyst-color/25/01/43236579/chinas-deepseek-ai-rattles-tech-stocks,20250127T151804,0.142812,Neutral,,0.158519,Somewhat-Bullish,0.5,Bullish,0.5,Bullish,NVDA,0.076874,Neutral,0.430088,,,,,,,,,,,,,,,,,,
"China's DeepSeek AI Rattles Tech Stocks, Analyst Ives Says Market Plunge 'Golden Buying Opportunity' - Alphabet  ( NASDAQ:GOOG ) , Apple  ( NASDAQ:AAPL ) ",https://www.benzinga.com/analyst-ratings/analyst-color/25/01/43236579/chinas-deepseek-ai-rattles-tech-stocks,20250127T151804,0.142812,Neutral,,0.158519,Somewhat-Bullish,0.5,Bullish,0.5,Bullish,AAPL,0.178695,Somewhat-Bullish,0.179788,,,,,,,,,,,,,,,,,,
"Comparing Apple With Industry Competitors In Technology Hardware, Storage & Peripherals Industry - Apple  ( NASDAQ:AAPL ) ",https://www.benzinga.com/insights/news/25/01/43235232/comparing-apple-with-industry-competitors-in-technology-hardware-storage-amp-peripherals-industry,20250127T150104,0.27885,Somewhat-Bullish,,0.95493,Bullish,1.0,Bullish,,,AAPL,0.3773,Bullish,0.512373,0.54554,Bullish,,,,,,,,,,,,,,,,
"Stock Market News for Jan 27, 2025",https://www.zacks.com/stock/news/2403782/stock-market-news-for-jan-27-2025,20250127T144100,-0.069874,Neutral,,0.158519,Somewhat-Bullish,0.5,Bullish,0.5,Bullish,NVDA,0.060586,Neutral,0.215574,,,0.158519,Somewhat-Bullish,,,,,,,,,,,,,,
"Stock Market News for Jan 27, 2025",https://www.zacks.com/stock/news/2403782/stock-market-news-for-jan-27-2025,20250127T144100,-0.069874,Neutral,,0.158519,Somewhat-Bullish,0.5,Bullish,0.5,Bullish,AAPL,0.045671,Neutral,0.144708,,,0.158519,Somewhat-Bullish,,,,,,,,,,,,,,
Unveiling Apple  ( AAPL )  Q1 Outlook: Wall Street Estimates for Key Metrics,https://www.zacks.com/stock/news/2403723/unveiling-apple-aapl-q1-outlook-wall-street-estimates-for-key-metrics,20250127T141504,0.122646,Neutral,,0.999995,Bullish,1.0,Bullish,,,AAPL,0.22533,Somewhat-Bullish,0.360752,0.161647,Somewhat-Bullish,,,,,,,,,,,,,,,,
"Meta Wants To Leverage TikTok Ban Threat to Promote Instagram On Other Social Media, Offers Cash Deals - Meta Platforms  ( NASDAQ:META ) ",https://www.benzinga.com/25/01/43230011/meta-leverages-tiktok-ban-threats-to-boost-instagram-offering-creators-cash-deals,20250127T132424,0.147775,Neutral,,0.310843,Somewhat-Bullish,1.0,Bullish,,,GOOG,0.117249,Neutral,0.353059,0.989041,Bullish,,,,,,,,,,,,,,,,
"Meta Wants To Leverage TikTok Ban Threat to Promote Instagram On Other Social Media, Offers Cash Deals - Meta Platforms  ( NASDAQ:META ) ",https://www.benzinga.com/25/01/43230011/meta-leverages-tiktok-ban-threats-to-boost-instagram-offering-creators-cash-deals,20250127T132424,0.147775,Neutral,,0.310843,Somewhat-Bullish,1.0,Bullish,,,META,0.194539,Somewhat-Bullish,0.353059,0.989041,Bullish,,,,,,,,,,,,,,,,
"Meta Wants To Leverage TikTok Ban Threat to Promote Instagram On Other Social Media, Offers Cash Deals - Meta Platforms  ( NASDAQ:META ) ",https://www.benzinga.com/25/01/43230011/meta-leverages-tiktok-ban-threats-to-boost-instagram-offering-creators-cash-deals,20250127T132424,0.147775,Neutral,,0.310843,Somewhat-Bullish,1.0,Bullish,,,ORCL,-0.09212,Neutral,0.121343,0.989041,Bullish,,,,,,,,,,,,,,,,
